date,close,open,high,low,volume,symbol
20230120,1381.9842,1380.8352,1388.355,1374.0021,905994.0,000689.SH
20230119,1376.0612,1359.4428,1376.6091,1350.6523,830121.0,000689.SH
20230118,1361.4826,1361.1239,1367.8926,1352.8708,769986.0,000689.SH
20230117,1356.2376,1346.3302,1369.2521,1343.6145,939076.0,000689.SH
20230116,1344.4764,1316.8225,1353.8493,1315.621,1136053.0,000689.SH
20230113,1318.8931,1331.0742,1333.734,1307.903,889917.0,000689.SH
20230112,1329.7567,1325.2364,1343.0199,1322.9669,1090834.0,000689.SH
20230111,1319.0648,1343.1639,1348.1331,1318.2954,984602.0,000689.SH
20230110,1342.7506,1342.1052,1347.5614,1333.4236,953080.0,000689.SH
20230109,1344.2761,1347.8665,1361.8736,1339.4213,1008333.0,000689.SH
20230106,1345.5863,1327.4083,1362.1183,1327.2816,1114593.0,000689.SH
20230105,1325.8529,1302.6191,1327.3784,1298.4641,935204.0,000689.SH
20230104,1300.5012,1319.618,1319.618,1291.9565,980559.0,000689.SH
20230103,1313.9335,1281.3515,1316.2642,1270.9037,903491.0,000689.SH
20221230,1279.2603,1295.8823,1305.2971,1278.3331,726407.0,000689.SH
20221229,1293.6884,1291.1641,1305.2799,1287.3281,733198.0,000689.SH
20221228,1290.096,1302.4357,1302.5937,1285.9554,731746.0,000689.SH
20221227,1305.4318,1289.3529,1306.6312,1282.9371,814138.0,000689.SH
20221226,1287.2402,1233.7675,1288.5781,1233.1409,840437.0,000689.SH
20221223,1233.9133,1244.6762,1252.0027,1224.6524,747734.0,000689.SH
20221222,1252.1439,1292.0583,1295.0708,1249.1116,853277.0,000689.SH
20221221,1288.7181,1309.9153,1311.5575,1285.1168,687369.0,000689.SH
20221220,1310.806,1320.0531,1324.9691,1306.6635,669342.0,000689.SH
20221219,1321.6812,1333.2553,1352.9655,1318.4833,817055.0,000689.SH
20221216,1336.1927,1367.996,1368.4624,1331.153,972568.0,000689.SH
20221215,1373.9702,1360.0779,1375.9479,1351.0737,868216.0,000689.SH
20221214,1361.7455,1375.8687,1385.7428,1360.655,942383.0,000689.SH
20221213,1369.1838,1399.9605,1400.1963,1367.4014,1051345.0,000689.SH
20221212,1399.5801,1396.1676,1408.9617,1378.6209,1259262.0,000689.SH
20221209,1399.3489,1411.8935,1416.6299,1395.6924,1684923.0,000689.SH
20221208,1410.0686,1427.3419,1430.116,1408.9884,1141612.0,000689.SH
20221207,1426.3224,1414.2772,1441.612,1410.3027,1225562.0,000689.SH
20221206,1419.1569,1400.872,1427.2704,1389.0813,1162600.0,000689.SH
20221205,1403.7102,1417.4246,1418.3368,1395.0011,1187504.0,000689.SH
20221202,1408.6866,1402.7776,1428.1265,1398.0629,1149294.0,000689.SH
20221201,1403.1248,1392.6796,1418.0905,1392.6796,1237705.0,000689.SH
20221130,1375.3352,1371.8727,1386.958,1365.5122,987930.0,000689.SH
20221129,1371.1024,1370.2521,1380.0343,1355.6804,1249233.0,000689.SH
20221128,1366.043,1364.0842,1374.6604,1358.3136,1168887.0,000689.SH
20221125,1385.3682,1413.6126,1413.6126,1385.2392,1062911.0,000689.SH
20221124,1416.4373,1412.293,1429.5011,1405.3939,1297723.0,000689.SH
20221123,1409.1172,1404.8191,1414.5768,1367.9912,1124008.0,000689.SH
20221122,1405.6889,1424.7097,1427.4062,1402.22,1258574.0,000689.SH
20221121,1428.9558,1402.2258,1429.2775,1396.773,1143742.0,000689.SH
20221118,1409.9733,1422.1298,1438.6617,1409.8083,1285499.0,000689.SH
20221117,1423.6735,1431.5899,1431.8761,1395.801,1381149.0,000689.SH
20221116,1437.2396,1462.1192,1464.5524,1432.7933,1295114.0,000689.SH
20221115,1462.1934,1412.7687,1462.1934,1405.9403,1552093.0,000689.SH
20221114,1413.2215,1426.815,1439.1888,1404.3463,1279028.0,000689.SH
20221111,1427.2671,1457.1047,1463.6103,1424.8503,1435671.0,000689.SH
20221110,1417.2011,1449.6751,1455.9311,1414.911,1245355.0,000689.SH
20221109,1456.7143,1462.8561,1477.5254,1454.3065,1087546.0,000689.SH
20221108,1463.8252,1481.7373,1486.0124,1451.4762,1356348.0,000689.SH
20221107,1477.6535,1486.9728,1497.899,1466.8294,1631910.0,000689.SH
20221104,1485.1561,1456.339,1487.0872,1453.0688,1767577.0,000689.SH
20221103,1449.3135,1417.0886,1450.9273,1412.6416,1397933.0,000689.SH
20221102,1425.7132,1406.4942,1435.601,1400.4684,1491904.0,000689.SH
20221101,1404.9774,1388.2943,1415.4308,1375.9979,1372219.0,000689.SH
20221031,1382.963,1330.7766,1398.6997,1330.7766,1512365.0,000689.SH
20221028,1347.055,1374.238,1388.0946,1342.4144,1450673.0,000689.SH
20221027,1387.067,1422.497,1425.2291,1385.296,1291924.0,000689.SH
20221026,1419.9252,1412.289,1431.1069,1382.9714,1368663.0,000689.SH
20221025,1410.3133,1413.8304,1428.947,1386.4022,1168095.0,000689.SH
20221024,1414.9992,1414.3118,1446.1923,1406.5032,1311099.0,000689.SH
20221021,1411.9614,1401.4757,1430.8094,1381.8313,1356236.0,000689.SH
20221020,1402.4627,1393.9594,1418.2903,1371.3526,1314663.0,000689.SH
20221019,1399.6042,1403.9108,1427.1723,1399.6042,1365917.0,000689.SH
20221018,1406.0447,1409.1503,1418.2961,1394.8982,1141770.0,000689.SH
20221017,1403.0329,1382.8848,1406.9389,1373.1312,1286638.0,000689.SH
20221014,1383.7503,1384.1457,1393.6067,1350.1871,1375002.0,000689.SH
20221013,1383.6661,1369.8245,1409.9639,1364.9655,1033102.0,000689.SH
